Name,Pos,ID
Tua Tagovailoa,QB,/players/T/TagoTu00
Brock Purdy,QB,/players/P/PurdBr00
Jared Goff,QB,/players/G/GoffJa00
Patrick Mahomes,QB,/players/M/MahoPa00
Dak Prescott,QB,/players/P/PresDa01
Josh Allen,QB,/players/A/AlleJo02
Trevor Lawrence,QB,/players/L/LawrTr00
Matthew Stafford,QB,/players/S/StafMa00
Jalen Hurts,QB,/players/H/HurtJa00
C.J. Stroud,QB,/players/S/StroCJ00
Sam Howell,QB,/players/H/HoweSa00
Baker Mayfield,QB,/players/M/MayfBa00
Jordan Love,QB,/players/L/LoveJo03
Derek Carr,QB,/players/C/CarrDe02
Lamar Jackson,QB,/players/J/JackLa00
Geno Smith,QB,/players/S/SmitGe00
Justin Herbert,QB,/players/H/HerbJu00
Russell Wilson,QB,/players/W/WilsRu00
Gardner Minshew II,QB,/players/M/MinsGa00
Bryce Young,QB,/players/Y/YounBr01
Desmond Ridder,QB,/players/R/RiddDe00
Joshua Dobbs,QB,/players/D/DobbJo00
Kirk Cousins,QB,/players/C/CousKi00
Joe Burrow,QB,/players/B/BurrJo01
Zach Wilson,QB,/players/W/WilsZa00
Justin Fields,QB,/players/F/FielJu00
Mac Jones,QB,/players/J/JoneMa05
Kenny Pickett,QB,/players/P/PickKe00
Will Levis,QB,/players/L/LeviWi00
Aidan O'Connell,QB,/players/O/OConAi00
Joe Flacco,QB,/players/F/FlacJo00
Jake Browning,QB,/players/B/BrowJa08
Kyler Murray,QB,/players/M/MurrKy00
Ryan Tannehill,QB,/players/T/TannRy00
Jimmy Garoppolo,QB,/players/G/GaroJi00
Deshaun Watson,QB,/players/W/WatsDe00
Tommy DeVito,QB,/players/D/DeViTo00
Bailey Zappe,QB,/players/Z/ZappBa00
Daniel Jones,QB,/players/J/JoneDa05
Tyson Bagent,QB,/players/B/BageTy00
Nick Mullens,QB,/players/M/MullNi00
Taylor Heinicke,QB,/players/H/HeinTa00
Tyrod Taylor,QB,/players/T/TaylTy00
P.J. Walker,QB,/players/W/WalkPh00
Trevor Siemian,QB,/players/S/SiemTr00
Easton Stick,QB,/players/S/SticEa00
Mitchell Trubisky,QB,/players/T/TrubMi00
Anthony Richardson,QB,/players/R/RichAn03
Drew Lock,QB,/players/L/LockDr00
Dorian Thompson-Robinson,QB,/players/T/ThomDo02
Andy Dalton,QB,/players/D/DaltAn00
Tim Boyle,QB,/players/B/BoylTi00
Mason Rudolph,QB,/players/R/RudoMa00
Case Keenum,QB,/players/K/KeenCa00
Jameis Winston,QB,/players/W/WinsJa00
Brian Hoyer,QB,/players/H/HoyeBr00
Jacoby Brissett,QB,/players/B/BrisJa00
Davis Mills,QB,/players/M/MillDa02
Brett Rypien,QB,/players/R/RypiBr00
C.J. Beathard,QB,/players/B/BeatC.00
Cooper Rush,QB,/players/R/RushCo00
Sam Darnold,QB,/players/D/DarnSa00
Jaren Hall,QB,/players/H/HallJa00
Mike White,QB,/players/W/WhitMi01
Malik Willis,QB,/players/W/WillMa12
Taysom Hill,QB,/players/H/HillTa00
Clayton Tune,QB,/players/T/TuneCl00
Keenan Allen,WR,/players/A/AlleKe00
Tyler Huntley,QB,/players/H/HuntTy01
Blaine Gabbert,QB,/players/G/GabbBl00
Braden Mann,P,/players/M/MannBr01
Drake London,WR,/players/L/LondDr00
Thomas Morstead,P,/players/M/MorsTh00
Marcus Mariota,QB,/players/M/MariMa01
Derrick Henry,RB,/players/H/HenrDe00
Dontayvion Wicks,WR,/players/W/WickDo00
Logan Cooke,P,/players/C/CookLo00
Jakobi Meyers,WR,/players/M/MeyeJa01
Tommy Townsend,P,/players/T/TownTo01
Johnny Hekker,P,/players/H/HekkJo00
Devin Singletary,RB,/players/S/SingDe00
Jerick McKinnon,RB,/players/M/McKiJe00
Tyler Boyd,WR,/players/B/BoydTy00
Chris Godwin,WR,/players/G/GodwCh00
Connor Heyward,TE,/players/H/HeywCo00
Justin Jefferson,WR,/players/J/JeffJu00
Aaron Rodgers,QB,/players/R/RodgAa00
Deebo Samuel,WR,/players/S/SamuDe00
Jonnu Smith,TE,/players/S/SmitJo01
Kadarius Toney,WR,/players/T/ToneKa00
Kyle Trask,QB,/players/T/TrasKy00
Garrett Wilson,WR,/players/W/WilsGa00
Christian Kirk,WR,/players/K/KirkCh01
A.J. McCarron,QB,/players/M/McCaA.00
Ja'Marr Chase,WR,/players/C/ChasJa00
